irrelevant label,English (US)
NO_MATCHING_BLOCKS,No matching blocks
,
ENTER_EMBED_URL,Enter a URL to embed
ENTER_URL_TO_EMBED,``ENTER_EMBED_URL``
NOT_A_VALID_URL,There's something wrong with that URL. Make sure to include the full address (including http).
URL_NOT_EMBEDDABLE,We don't support that website yet.
URL_NOT_FOUND,We can't find that URL. Make sure you don't have a typo.
EMBED_PLACEHOLDER_TEXT,For example
,
OPENSTAX_IMPORT,OpenStax import
QTI_IMPORT,QTI import
IMSCC_IMPORT,Common Cartridge import
IMPORT_IMSCC,Import
TYPE_ID,Type
COUNT,Count
,
DESIGNER_SOURCE_REUSE_WARNING_PREFIX,This %{typeId} is used in
DESIGNER_SOURCE_REUSE_WARNING_PLACES,%{count} places.
DESIGNER_LAST_UPDATED,Updated %{date} at %{time} by %{user}
DESIGNER_SOURCE_REUSE_WARNING_POSTFIX,Changes you make here will apply everywhere the %{typeId} is used.
,
INTERACTIVE_BLOCK,Interactive Block
EDIT_ORIGINAL,Edit Original
,
DISTRACTOR_RANDOMIZATION,Randomize answer choice order
,
FLIP_CARD,Flip Card
,
ACCESS_CODE_TITLE,Protected Resource
ACCESS_CODE_DESC,Access to the requested resource requires an access code.
ACCESS_CODE,Access Code
ACCESS_CODE_ERROR,The code you entered was invalid. Please try again or contact your administrator.
ACCESS_CODE_ERROR_INVALID,The code you entered was invalid. Please try again or contact your administrator.
ACCESS_CODE_ERROR_INAPPLICABLE,"The code you entered is valid, but does not provide access to the course you are trying to enter. Please contact your administrator if you have questions."
,
ADD_SOFT_LIMIT,Add Soft Limit
SOFT_LIMIT,Soft Limit
SOFT_ATTEMPT_LIMIT,Attempts
SOFT_ATTEMPT_LIMIT_MSG,Provide a message to encourage learners to review the course material.
SOFT_LIMIT_DEFAULT_MSG,Reviewing the course materials will help if you want to retake the assessment to improve your score!
,
COURSE_LIST_EMPTY,You are not currently enrolled in any active courses. Please contact support if you believe you should be enrolled in an active course.
,
DISCUSSION_SETTING_CLOSE_DISCUSSION,Close Discussion
DISCUSSION_SETTING_CLOSE_DISCUSSION_TOOLTIP,Close Discussion
DISCUSSION_CLOSED_MESSAGE,This discussion has been closed to new posts by learners.
CONFIRM_CLOSE_DISCUSSION,Are you sure you wish to close this discussion?
CONFIRM_OPEN_DISCUSSION,Are you sure you wish to re-open this discussion?
DISCUSSION_CLOSED_EXPLAINATION,Your instructor has closed this discussion to new posts. You will not be able to add your post to the discussion. Please contact your instructor if you have questions.
DISCUSSION_GENERIC_ERROR_TITLE,Unauthorized
DISCUSSION_GENERIC_ERROR_DESCRIPTION,You are unauthorized to complete this action.  Please contact your instructor if you have questions.
DISCUSSION_TRIAL_ACCESS_MESSAGE,This discussion is closed to new posts by trial access learners.
DISCUSSION_READ_ONLY_MESSAGE,This discussion is closed to new posts by learners.
RIGHTS_BASED_LOCK_MESSAGE,As a trial learner you are unable to access this content.
MODAL_ERROR_CANCEL,Cancel
,
MATH_EQUATION_PLACEHOLDER,&lt;&lt;equation&gt;&gt;
,
PARTIAL_CREDIT_GRADING_STRATEGY,"You must select all correct answers in order to receive full credit, however you will receive partial credit for each individual correct answer you provide."
NO_PARTIAL_CREDIT_GRADING_STRATEGY,You must select all correct answers in order to receive credit; partial credit is not allowed.
,
LOGIN_REDIRECT_MECHANISM,
LOGIN_REDIRECT_MECHANISM_CONFIRM_INFO,
LOGIN_REDIRECT_MECHANISM_CONFIRM_ACTION,
LOGIN_BUTTON,Login
LOGIN_RECOVER_PASSWORD,Forgot password?
LOGIN_RECOVER_PASSWORD_TITLE,Recover Password
LOGIN_RECOVER_PASSWORD_EMAIL_SENT,Email Sent
LOGIN_RECOVER_PASSWORD_INPUT_LABEL ,Username or Email Address
LOGIN_RECOVER_PASSWORD_SEND_EMAIL,Recover
,
MULTI_SELECT_PICKER_CONFIRM,Add selected
,
COURSE_LISTING_LINK_LABEL,Go to this course
COURSE_LISTING_NEXT_UP_LABEL,Next up in this course
,
AUTHORING.TABLE_SHOW_BORDERS,Show borders
,
AUTHORING.DISPLAY_PDF_INLINE,Display
AUTHORING.DISPLAY_PDF_INLINE_YES,Inline
AUTHORING.DISPLAY_PDF_INLINE_NO,Download link
,
WIDTH,Image width
,
SEARCH_LEARNERS,Search %{smart_count} learner||||Search %{smart_count} learners
,
NO_LEARNERS_FOUND_HEADER,No results
NO_LEARNERS_FOUND_DESCRIPTION,There are no learners that match the keyword term you have entered.
,
Assets,Content
,
DATE_NOT_AVAILABLE,N/A
,
CREATE_COURSE_BLURB,Design a standalone experience that measures and improves learner ability on specific competencies
CREATE_COURSE_LABEL,Course
CREATE_COURSE_BUTTON,Create new course
CREATE_PROJECT_MODAL_HEADING,Choose a project type
,
COURSE_SUSPENDED_TITLE,Course Suspended
COURSE_SUSPENDED_MESSAGE,Access to this course has been suspended.
COURSE_NOT_STARTED_TITLE,Course Unavailable
COURSE_NOT_STARTED_MESSAGE,Access to this course begins {0}.
COURSE_EXPIRED_TITLE,Access Expired
COURSE_EXPIRED_MESSAGE,"Your access to this course has expired {0}.  If you have questions or wish to restore access to the course, please contact your administrator."
COURSE_NOT_ENROLLED_TITLE,Not Enrolled
COURSE_NOT_ENROLLED_MESSAGE,You are not enrolled in this course.
COURSE_INSUFFICIENT_RIGHTS_TITLE,Insufficient Rights
COURSE_INSUFFICIENT_RIGHTS_MESSAGE,You do not have the rights to access this course.
,
MANAGE_DISCUSSIONS_MODAL_HEADER,Manage Discussions
MANAGE_DISCUSSIONS_NAME_COLUMN,Name
MANAGE_DISCUSSIONS_CLOSE_COLUMN,Closed
MANAGE_DISCUSSIONS_UPDATE_ACTION,Update selected
MANAGE_DISCUSSIONS_CANCEL,Cancel
,
REVIEW_PERIOD_WARNING,Warning: This course has ended. You will be able to review the course until {{ shutdownDate | formatMoment:'full' }} at which time access will be removed.
,
Course_NEW_PROJECT_NAME,Course Name
Course_NEW_PROJECT_PLACEHOLDER,My New Course
VERSION_NAME,Version Name
PROJECT_HOME,Home
PROJECT_STRUCTURAL,Structure
,
IMAGE_SIZE,Image Size
,
KeepMeLoggedIn,Keep me logged in
,
ALLOW_PARTIAL_CREDIT,Allow partial credit
GIVE_FULL_CREDIT_FOR_ANY_CORRECT,Give full credit for any correct choice

,
,
WARNING,Warning
,
TimedOutHeader,You've been logged out
TimedOutMessage,"For security, we have logged you out of the system since you were inactive for {{duration}} minutes."
,
EMPTY_RESULTS_CONTAINER_MSG,Get started by creating your first project
BACK_TO_PROJECT_LISTINGS,Back to Projects
PROJECT_NAME,Name
PROJECT_IMAGE,Image
EDIT_PROJECT_NAME,Project name
EDIT_PROJECT_IMAGE,Project image
SAVE_PROJECT_NAME,Save
SAVE_PROJECT_IMAGE,Save
REMOVE_PROJECT_IMAGE,Remove
ADD_NEW_VERSION_BTN,New version
CREATE_NEW_VERSION_HEADING,New version
VERSION_NAME_PLACEHOLDER,"Version name (e.g., Fall 2020)"
CANCEL_CREATE_VERSION_BTN,``CANCEL``
FINISH_CREATE_VERSION_BTN,``SAVE``
VERSION_NAME_TABLE_TH,Name
DATE_CREATE_TABLE_TH,Created
CONTRIBUTORS_TABLE_TH,Contributors
NEW_PROJECT_IMAGE,Project image (PNG or JPG)
CHOOSE_IMAGE_BUTTON,Choose an Image
CANCEL_IMAGE_BUTTON,Cancel Upload
NO_IMG_UPLOADED_MSG,No image selected
FILE_UPLOAD_TOO_LARGE,Choose an image smaller than 2MB
FILE_UPLOAD_ERROR,Error uploading file
Course_NAME,Course Name
EDIT_Course_NAME,Edit Course Name
VERSIONS,Versions
UPDATE_SUCCESS,Update Success
UPDATE_ERROR,Update Error
SAVE_CHANGES,Save Changes
,
DOWNLOAD,Download
,
CONTENT_GRAPH_SAVE_SUCCESS,Saved successfully!
CONTENT_GRAPH_WARNING.TITLE_REQUIRED,Title is Required
,
INVALID_MULTIPLE_FILES,"One file at a time, please"
,
SAVE_CONTENT_GRAPH,Save
SAVED_CONTENT_GRAPH,Saved
SAVING_CONTENT_GRAPH,Saving...
,
EDIT_CALLOUT.INFO_SAMPLE_TEXT,Info,
EDIT_CALLOUT.WARNING_SAMPLE_TEXT,Warning
EDIT_CALLOUT.DANGER_SAMPLE_TEXT,Danger
EDIT_CALLOUT.SUCCESS_SAMPLE_TEXT,Success
EDIT_CALLOUT.ICON_SIZE_BIG,Big
EDIT_CALLOUT.ICON_SIZE_SMALL,Small
EDIT_CALLOUT.ICON_SIZE,Callout Icon Size
EDIT_CALLOUT.STYLE,Callout Style
,
CONTENT_DESIGNER.VIEW_STATIC,Read Only
CONTENT_DESIGNER.EDIT,Edit,
CONTENT_DESIGNER.UNKNOWN_USER,Unknown User,
CONTENT_DESIGNER_SAVE_ERROR,Error: Cannot save content designer
CONTENT_DESIGNER.TITLE_TOO_LONG,Title must not exceed 255 characters in length
,
EDIT_DETAILS.EDIT_DETAILS_BTN,Edit Details
EDIT_DETAILS.BLOCK_DETAILS,Block Details
EDIT_DETAILS.SAVE,Save
EDIT_DETAILS.SAVING,Saving
EDIT_DETAILS.SAVED,Saved,
EDIT_DETAILS.BLOCK_DETAILS.TITLE,Title,
EDIT_DETAILS.BLOCK_DETAILS.KEYWORDS,Keywords
EDIT_DETAILS.POSTER_IMAGE,Poster Image
EDIT_DETAILS.REPLACE_VIDEO_POSTER_IMAGE,Replace Poster Image
EDIT_DETAILS.ADD_VIDEO_POSTER_IMAGE,Add Poster Image
EDIT_DETAILS.CAPTIONS,Captions
EDIT_DETAILS.ADD_CAPTION,Add Caption
EDIT_DETAILS.TRANSCRIPT,Transcript,
EDIT_DETAILS.REPLACE_TRANSCRIPT,Replace Transcript
EDIT_DETAILS.ADD_TRANSCRIPT,Add Transcript
EDIT_DETAILS.VIDEO_CAPTION_LABEL,Label
EDIT_DETAILS.VIDEO_CAPTION_LANGUAGE,Language
EDIT_DETAILS.IFRAMELY_SUPPORTED_SITES_LINK,View supported sites
,
AUTHORING.REPLACE_PDF,Replace PDF File
AUTHORING.REPLACE_file.1,Replace File
AUTHORING.REPLACE_audio.1,Replace Audio File
AUTHORING.REPLACE_HTML,Replace HTML Page
AUTHORING.LAUNCH_HTML_EDITOR,Launch HTML Editor
AUTHORING.REPLACE_IMAGE,Replace Image
AUTHORING.REPLACE_VIDEO,Replace Video
AUTHORING.VIDEO_TRANSCRIPT_LABEL,Transcript
AUTHORING.SHOW_HTML_EDITOR,Show Editor
AUTHORING.HIDE_HTML_EDITOR,Hide Editor
AUTHORING.SHOW_HTML_PREVIEW,Show Preview
AUTHORING.HIDE_HTML_PREVIEW,Hide Preview
,
ASSET_SIDE_PANEL.ADD,Add
ASSET_SIDE_PANEL.SEARCH_PLACEHOLDER,Search...
ASSET_SIDE_PANEL.NO_RESULTS,No results found.
ASSET_SIDE_PANEL.TITLE_FIELD,Title
ASSET_SIDE_PANEL.TITLE_PLACEHOLDER,Title
ASSET_SIDE_PANEL.MAX_LENGTH,Input is too long. It must be less than 255 characters.
ASSET_SIDE_PANEL.UPLOAD_FIELD,Upload
ASSET_SIDE_PANEL.UPLOAD_BUTTON_LABEL,Upload
ASSET_SIDE_PANEL.REQUIRED_FIELD,* Required
ASSET_SIDE_PANEL.ADD_NEW_BUTTON,Add New
ASSET_SIDE_PANEL.INSTRUCTIONAL_CONTENT,Instructional Content
ASSET_SIDE_PANEL.ASSESSMENTS,Assessments
ASSET_SIDE_PANEL.INTEGRATION,Integration
ASSET_SIDE_PANEL.LTI_TOOL_FIELD,Tool
ASSET_SIDE_PANEL.HTML_RESOURCES,Activity Resources
ASSET_SIDE_PANEL.ASSESSMENT_QUESTIONS,Question Types
ASSET_SIDE_PANEL.CONFIRM_CLOSE_HEADER,Confirm Navigation
ASSET_SIDE_PANEL.CONFIRM_CLOSE_BODY,Are you sure you want to navigate away. Changes will not be saved.
ASSET_SIDE_PANEL.CONFIRM_CLOSE_LEAVE,Leave the Panel
ASSET_SIDE_PANEL.CONFIRM_CLOSE_STAY,Stay on the Panel
,
STRUCTURE_PANEL.COURSE_SELECTOR_PLACEHOLDER,Select a course...

STRUCTURE_PANEL.FILTER_BY_TYPE,Filter by type
STRUCTURE_PANEL.FILTER_INSTRUCTIONAL_CONTENT,Instructional Content
STRUCTURE_PANEL.FILTER_INTEGRATION,Integration
STRUCTURE_PANEL.FILTER_ASSESSMENTS,Assessment
STRUCTURE_PANEL.FILTER_BY,Filter by
STRUCTURE_PANEL.FILTER_RESULTS,%{smart_count} result |||| %{smart_count} results
STRUCTURE_PANEL.FILTER_CANCEL_BUTTON,Cancel
STRUCTURE_PANEL.FILTER_APPLY_BUTTON,Apply
STRUCTURE_PANEL.SHOW,Show Project Structure
STRUCTURE_PANEL.HIDE,Hide Project Structure
,
IS_FOR_CREDIT_LABEL,Count for credit
IS_FOR_CREDIT_DESCRIPTION,Counts for credit
IS_FOR_CREDIT_TRUE,Yes
IS_FOR_CREDIT_FALSE,No
POINTS_POSSIBLE_LABEL,Points
POINTS_POSSIBLE_DESCRIPTION,Points Possible
,
PROJECT_NAV.SETTINGS,Settings
PROJECT_NAV.VERSIONS,Publish
PROJECT_NAV.PROJECT_LABEL,Project: %{projectName}
PROJECT_NAV.VERSIONS_LABEL,Version: %{projectVersion}
PROJECT_NAV.CODE,Code:
PROJECT_NAV.TYPE,Type:
PROJECT_NAV.LIVE,Status:
,
LWC.TEST_SECTION_BUTTON,Test Section
QUESTION_POINTS,pt
QUESTION_POINTS_PLURAL,pts
PREVIEW_BUTTON,Preview
PREVIEW_ROLE_BUTTON,%{role} Preview
PREVIEW_BUTTON_ARIA,%{role} Preview (Meta+click opens in a new window)
PREVIEW_COURSE_BUTTON,%{role} Course Preview
PREVIEW_COURSE_BUTTON_ARIA,Preview Course as %{role} (Meta+click opens in a new window)
NEW_UI,New UI
LEGACY_UI,Classic UI

AUTHOR_VIEW,Preview as Author
INSTRUCTOR_VIEW,Preview as Instructor
LEARNER_VIEW,Preview as Learner

COURSE_DEFAULTS.CSS_HEADER,Default CSS for HTML Pages
COURSE_DEFAULTS.JS_HEADER,Default JS for HTML Pages
COURSE_DEFAULTS.CSS_PLACEHOLDER,https://assets.example.org/path/to/file.css
COURSE_DEFAULTS.JS_PLACEHOLDER,https://assets.example.org/path/to/file.js
COURSE_DEFAULTS.REMOVE,Remove
COURSE_DEFAULTS.ADD,Add
COURSE_DEFAULTS.URL_WARNING,The URL you entered does not appear to be valid

ACTION_BAR.GO_TO_PREV,Go to previous asset
ACTION_BAR.GO_TO_NEXT,Go to next asset

TEMPLATE_IMPORT.DROPZONE_HELP,Add a module or import a structure CSV to get started
TEMPLATE_IMPORT.CHOOSE_FILE,Choose File...

HTML_DOC_IMPORT.DROPZONE_HELP,Add new content or import an HTML document

TEMPLATE_IMPORT.TOO_MANY_TITLES,Too many titles
TEMPLATE_IMPORT.NO_TITLE,Missing title
TEMPLATE_IMPORT.LONG_TITLE,Title value has too many characters (max 255)

TEMPLATE_IMPORT.UNSUPPORTED_ASSET_TYPE,%{typeId} is not a supported asset type
TEMPLATE_IMPORT.MISSING_ASSET_TYPE,Missing asset type
TEMPLATE_IMPORT.BAD_LVL,%{typeId} cannot be at %{currentLevel}
TEMPLATE_IMPORT.NO_MODULE,Content items must be in a Module
TEMPLATE_IMPORT.LVLX_CANNOT_FOLLOW_LVLY,A %{lvlX} row cannot follow a %{lvlY} row
TEMPLATE_IMPORT.TYPEX_CANNOT_FOLLOW_TYPEY,%{typeX} row cannot follow %{typeY} row
TEMPLATE_IMPORT.BAD_GROUP,Competency verb '%{group}' is not valid for type %{typeId}
TEMPLATE_IMPORT.UNKNOWN_COMPETENCY,Competency '%{competency}' not found
TEMPLATE_IMPORT.BAD_CATEGORY,Type %{typeId} does not support gradebook category
TEMPLATE_IMPORT.UNKNOWN_CATEGORY,Category '%{category}' not found

TEMPLATE_IMPORT.SETTINGS_FOR_NON_ASSESSMENT,"Only Assessment, Pool, and Diagnostic can have assessment settings. Found %{typeId}."
TEMPLATE_IMPORT.POINTS_POSSIBLE_INVALID,'Points Possible' must be a number greater than 0. Found '%{inputValue}'.
TEMPLATE_IMPORT.SINGLE_PAGE_INVALID,"'Layout' must be blank, '``MultiPageAssessment``', or '``SinglePageAssessment``'. Found '%{inputValue}'."
TEMPLATE_IMPORT.IMMEDIATE_FEEDBACK_SINGLE_PAGE,'Show Results' must be blank or '``SummativeAssessment``' when Layout is '``SinglePageAssessment``'.
TEMPLATE_IMPORT.IMMEDIATE_FEEDBACK_INVALID,"'Show Results' must be blank, '``SummativeAssessment``', or '``FormativeAssessment``'. Found '%{inputValue}'."
TEMPLATE_IMPORT.CONFIDENCE_INDICATOR_SINGLE_PAGE,'Confidence Level' must be blank or '``Disable Confidence``' when Layout is '``SinglePageAssessment``'.
TEMPLATE_IMPORT.CONFIDENCE_INDICATOR_INVALID,"'Confidence Level' must be blank, '``Use Confidence``', or '``Disable Confidence``'. Found '%{inputValue}'."
TEMPLATE_IMPORT.HIDE_ANSWER_INVALID,"'Show answer on results' must be blank, '``ShowCorrectOptions``', or '``HideCorrectOptions``'. Found '%{inputValue}'."
TEMPLATE_IMPORT.ASSESSMENT_TYPE_DIAGNOSTIC,'Type' must be blank for Diagnostic assessments.
TEMPLATE_IMPORT.ASSESSMENT_TYPE_INVALID,"'Type' must be blank, '``ASSESSMENT_TYPE_FORMATIVE``', or '``ASSESSMENT_TYPE_SUMMATIVE``'. Found '%{inputValue}'."
TEMPLATE_IMPORT.MAX_ATTEMPTS_DIAGNOSTIC,'Number of attempts' must be blank for Diagnostic assessments.
TEMPLATE_IMPORT.MAX_ATTEMPTS_INVALID,"'Number of attempts' must be blank, '``UNLIMITED_ATTEMPTS``', or a number greater than 0. Found '%{inputValue}'."
TEMPLATE_IMPORT.MAX_MINUTES_CHECKPOINT,'Time Limit' must be blank for checkpoints.
TEMPLATE_IMPORT.MAX_MINUTES_INVALID,"'Time Limit' must be blank or a number greater than 0. Found '%{inputValue}'."
TEMPLATE_IMPORT.SCORING_OPTION_DIAGNOSTIC,'Scoring Option' must be blank for Diagnostic assessments.
TEMPLATE_IMPORT.SCORING_OPTION_ONE_ATTEMPT,'Scoring Option' must be blank if 'Number of attempts' is 1.
TEMPLATE_IMPORT.SCORING_OPTION_INVALID,"'Scoring Option' must be blank, '``firstAttemptScore``', '``mostRecentAttemptScore``', '``highestScore``', '``averageScore``' or '``fullCreditOnAnyCompletion``'. Found '%{inputValue}'."
TEMPLATE_IMPORT.NUMBER_OF_QUESTIONS_POOL_ONLY,'Number of questions' must be blank for all types other than Pool assessments. Found %{typeId} instead of Pool.
TEMPLATE_IMPORT.NUMBER_OF_QUESTIONS_INVALID,"'Number of questions' must be blank, '``USE_ALL_QUESTIONS``', or a number greater than 0. Found '%{inputValue}'."
TEMPLATE_IMPORT.IS_FOR_CREDIT_INVALID,"'Count for Credit' must be blank, '``IS_FOR_CREDIT_TRUE``', or '``IS_FOR_CREDIT_FALSE``'. Found '%{inputValue}'."

TEMPLATE_IMPORT.LEVEL_ONE,Level One
TEMPLATE_IMPORT.LEVEL_TWO,Level Two
TEMPLATE_IMPORT.LEVEL_THREE,Level Three
TEMPLATE_IMPORT.LEVEL_FOUR,Level Four

TEMPLATE_IMPORT.MODAL_TITLE,Import Course Structure
TEMPLATE_IMPORT.MODAL_ERRORS,Errors
TEMPLATE_IMPORT.MODAL_LINE,Line
TEMPLATE_IMPORT.MANIFEST_TO_THE_COURSE,the course
TEMPLATE_IMPORT.ITEM,item
TEMPLATE_IMPORT.ITEM-plural,items
TEMPLATE_IMPORT.UNKNOWN_ERROR,An unknown error occurred.

IMPORT_MODAL.NO_DATA,The selected file is empty
IMPORT_MODAL.BAD_COLUMN_HEADERS,Column headers are incorrect. Refer to the user guide for an example file. Incorrect Columns: %{inputValue}
IMPORT_MODAL.MISSING_COLUMN_HEADERS,Column headers are incorrect. Refer to the user guide for an example file. Missing Columns: %{inputValue}
IMPORT_MODAL.UNEXPECTED_ERROR,An unexpected error occurred.

COMPETENCY_SET_IMPORT.MODAL_TITLE,Import Competency Set
COMPETENCY_SET_IMPORT.MANIFEST_TO_THE_SET,the competency set
COMPETENCY_SET_IMPORT.MANIFEST_FROM_THE_SET,the competency set
COMPETENCY_SET_IMPORT.MODAL_ERRORS,Errors
COMPETENCY_SET_IMPORT.ITEM,competency
COMPETENCY_SET_IMPORT.ITEM-plural,competencies

COMPETENCY_SET_IMPORT.TOO_MANY_COMPETENCIES,Too many competencies on one row
COMPETENCY_SET_IMPORT.INVALID_LEVEL,Invalid competency level
COMPETENCY_SET_IMPORT.DUPLICATE_NAME,Duplicate competency name
COMPETENCY_SET_IMPORT.NAME_TOO_LONG,Competency name has too many characters (max 255)

CONTENT_ALIGNMENT_IMPORT.MODAL_TITLE,Import Content Alignment
CONTENT_ALIGNMENT_IMPORT.MODAL_ERRORS,Errors
CONTENT_ALIGNMENT_IMPORT.ADD,Add 1 alignment to||||Add %{smart_count} alignments to
CONTENT_ALIGNMENT_IMPORT.REMOVE,", and remove 1 alignment from,||||, and remove %{smart_count} alignments from,"
CONTENT_ALIGNMENT_IMPORT.THE_COURSE,"the course."

CONTENT_ALIGNMENT_IMPORT.TOO_MANY_TITLES,Too many titles on one row
CONTENT_ALIGNMENT_IMPORT.INVALID_LEVEL,Invalid title level
CONTENT_ALIGNMENT_IMPORT.UNKNOWN_CONTENT,Content with this title not found
CONTENT_ALIGNMENT_IMPORT.DUPLICATE_CONTENT,This content was already aligned
CONTENT_ALIGNMENT_IMPORT.UNKNOWN_COMPETENCY,Unknown competency: %{title}
CONTENT_ALIGNMENT_IMPORT.INVALID_ALIGNMENT,"%{typeId} content does not support %{group} competency alignment"
CONTENT_ALIGNMENT_IMPORT.INVALID_TYPE_IDT,"%{typeId} content does not match the import type %{expected}"

IMPORT_HTML_ZIP.MODAL_TITLE,Import HTML Zip
IMPORT_HTML_ZIP.NO_HTML_CHANGES,No updated HTML was found. Verify that the ZIP file has the expected directory structure.
IMPORT_HTML_ZIP.HTML_WILL_CHANGE,The following HTML content will be updated: %{changes}.
IMPORT_HTML_ZIP.HTML_CHANGED,1 asset updated.||||%{smart_count} assets updated.

IMPORT_HTML_DOC.MODAL_TITLE,Import HTML Document
IMPORT_HTML_DOC.NO_CHANGES,No changes were identified.
IMPORT_HTML_DOC.HTML_CHANGED,HTML document imported
IMPORT_HTML_DOC.ADD_ELEMENT,Add %{name}
IMPORT_HTML_DOC.MODIFY_ELEMENT,Modify %{name}
IMPORT_HTML_DOC.ALIGN,Add 1 alignment||||Add %{smart_count} competency alignments
IMPORT_HTML_DOC.UNALIGN,Remove 1 alignment||||Remove %{smart_count} competency alignments

EXPORT_IMPORT,Export and Import
EXPORT_TEMPLATE,Export Course Structure
IMPORT_TEMPLATE,Import Course Structure
IMPORT_QUESTIONS,Import Questions
EXPORT_LOQI,Export LOQI Assessment
EXPORT_ASSESSMENTS,Export LOQI Assessments
IMPORT_HTML_ZIP,Import HTML Zip
EXPORT_HTML_ZIP,Export HTML Zip
EXPORT_HTML_DOC,Export HTML Document
IMPORT_HTML_DOC,Import HTML Document

EXPORT_COMPETENCY_SET,Export Competency Set
IMPORT_COMPETENCY_SET,Import Competency Set
EXPORT_CONTENT_ALIGNMENT,Export Content Alignment
IMPORT_CONTENT_ALIGNMENT,Import Content Alignment
EXPORT_CONTENT_PLUS_ALIGNMENT,Export Content and Question Alignment

IMPORT_MODAL.QUESTION,question
IMPORT_MODAL.QUESTION-plural,questions
IMPORT_MODAL.ADD,Add
IMPORT_MODAL.TO,to
IMPORT_MODAL.FROM,from
IMPORT_MODAL.MODAL_ERROR,Error
IMPORT_MODAL.MODAL_ERROR-plural,Errors
IMPORT_MODAL.ASSESSMENT_IMPORT_TITLE,Import questions

IMPORT_MODAL.MODAL_WARNING,Warning
IMPORT_MODAL.MODAL_WARNING-plural,Warnings
IMPORT_MODAL.NO_FILE_UPLOADED,Please upload a file
IMPORT_MODAL.BAD_FILE_TYPE,Unsupported file type (%{fileType}). Please select a valid file type: %{validTypes}
IMPORT_MODAL.IMPORT_FAILURE,There was a failure during the import

ASSESSMENT_IMPORT.DROPZONE_HELP,Add a question or import a document (QTI .zip or LOQI .docx) to get started
ASSET_PILL.NAME_TITLE,Content ID
ASSET_PILL.ARCHIVED_TITLE,Content Archived
ASSET_PILL.TYPE_TITLE,Content Type

SEARCH_MODAL.THIS_COURSE,This course
SEARCH_MODAL.THIS_VERSION,This version
SEARCH_MODAL.SELECT_VERSION,Select a version...

TOAST.SOMETHING_WENT_WRONG,Something went wrong. Contact Learning Objects support for help.

UNSAVED_CHANGES_MODAL.HEADER,Unsaved Changes...
UNSAVED_CHANGES_MODAL.BODY,You are about to stop editing and there are unsaved changes.
UNSAVED_CHANGES_MODAL.DISCARD_CHANGES,Discard Changes
UNSAVED_CHANGES_MODAL.SAVE_CHANGES,Save Changes

DISCARD_CHANGES_MODAL.HEADER,Discard Changes?
DISCARD_CHANGES_MODAL.BODY,Are you sure you want to discard the changes you have made?
DISCARD_CHANGES_MODAL.DISCARD_CHANGES,Discard Changes
DISCARD_CHANGES_MODAL.SAVE_CHANGES,Save Changes

STORY_SAVE_MODAL.HEADER,Save Changes?
STORY_SAVE_MODAL.BODY,"Do you want to save the changes you have made, or keep editing?"
STORY_SAVE_MODAL.REMEMBER,Remember my choice
STORY_SAVE_MODAL.KEEP_EDITING,Keep Editing
STORY_SAVE_MODAL.SAVE_CHANGES,Save Changes

STORY_SAVE_CANCEL_MODAL.HEADER,Save Changes?
STORY_SAVE_CANCEL_MODAL.BODY,"In order to continue you need to save the changes you have made."
STORY_SAVE_CANCEL_MODAL.CANCEL,Cancel
STORY_SAVE_CANCEL_MODAL.SAVE_CHANGES,Save Changes

STORY_OVERWRITE_MODAL.HEADER,Overwrite Changes?
STORY_OVERWRITE_MODAL.BODY.0,"Some of the edits you have made will overwrite changes made by other authors to this content:"
STORY_OVERWRITE_MODAL.BODY.1,"Are you sure you want to overwrite their changes?"
STORY_OVERWRITE_MODAL.CANCEL,Cancel
STORY_OVERWRITE_MODAL.OVERWRITE,Overwrite Changes

MERGE_UPDATES_MODAL.HEADER,Merge Updates?
MERGE_UPDATES_MODAL.BODY,"Changes have been made to this project by other authors and you have not yet merged their updates."
MERGE_UPDATES_MODAL.CANCEL,Cancel
MERGE_UPDATES_MODAL.MERGE_UPDATES,Merge Updates
MERGE_UPDATES_MODAL.SAVE_ANYWAY,Save Anyway

FILL_IN_THE_BLANK_EDIT_BLANK,Edit Blank
FILL_IN_THE_BLANK_ADD_OPTION,Add Option
SCORM_TITLE_LABEL,Content Title:
ZIP_RESOURCES_LABEL,Resources:
CONTENT_SIZE_HEADER,Content Size
CONTENT_HEIGHT_LABEL,Height (Pixels)
CONTENT_HEIGHT_DESCRIPTION,Height in Pixels
CONTENT_WIDTH_LABEL,Width (Pixels)
CONTENT_WIDTH_DESCRIPTION,Width in Pixels (only available with New Window)
LAUNCH_HEADER,Launch
LAUNCH_NEW_WINDOW_LABEL,New Window
LAUNCH_NEW_WINDOW_DESCRIPTION,Whether SCORM launches in a new window, or a frameset
LAUNCH_NEW_WINDOW_TRUE,Yes
LAUNCH_NEW_WINDOW_FALSE,No
GRADEBOOK_HEADER,Gradebook
EXPORT_GRADEBOOK,Export Gradebook
FILE_ADD.HEADER_TITLE,Add %{fileType}
FILE_ADD.CHOOSE_FILE,Choose File...
CONTENT_HAS_BEEN_UPDATED,This content has been updated. Please refresh the page and try again.

PAGINATION.FIRST_PAGE,First Page
PAGINATION.PREVIOUS_PAGE,Previous Page
PAGINATION.NEXT_PAGE,Next Page
PAGINATION.LAST_PAGE,Last Page

survey.1,Survey
